Version, 17.03
Date, 2017-10-05
Time, 10h36
Force Threshold, Label1, Kidney, 0.1
Force Threshold, Label2, Stone1, 3.40282e+038
Force Threshold, Label3, Stone2, 3.40282e+038
Number of materials, 3
Number of targets, 0
Time(s), InstrumentLeftHand, LeftSwitch, LeftKnob, ForceFeedbackLeftHand, CumTimeLeftForceOverThreshold_label1_Kidney, CumTimeLeftForceOverThreshold_label2_Stone1, CumTimeLeftForceOverThreshold_label3_Stone2, Label1_Kidney_TouchedByLeft, Label2_Stone1_TouchedByLeft, Label3_Stone2_TouchedByLeft, TranslationLeft_x,TranslationLeft_y,TranslationLeft_z, quatLeft_x,quatLeft_y,quatLeft_z, quatLeft_w, InstrumentRightHand, RightSwitch, RightKnob, ForceFeedbackRightHand, CumTimeRightForceOverThreshold_label1_Kidney, CumTimeRightForceOverThreshold_label2_Stone1, CumTimeRightForceOverThreshold_label3_Stone2, Label1_Kidney_TouchedByRight, Label2_Stone1_TouchedByRight, Label3_Stone2_TouchedByRight, TranslationRight_x,TranslationRight_y,TranslationRight_z, quatRight_x,quatRight_y,quatRight_z,quatRight_w,BloodEmittedFrame,BloodCurrentFrame, TotalBloodEmitted, TotalWhiteFibreCut, TotalArteriesFibreCut, TotalVeinsFibreCut, TotalTargetFibreCut, Volume_ofLabel1_Kidney, Volume_ofLabel2_Stone1, Volume_ofLabel3_Stone2
0.0195869 , NephroscopeWithOneChannel , 0 , 0.999022 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00155926 , -81.963 , 281.946 , -0.178199 , -0.216593 , 0.488496 , 0.826259 , NephroGrasper , 1 , 0.953079 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 10.576 , -58.0483 , 146.205 , 0.363391 , -0.23796 , 0.677534 , 0.593523 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.0400258 , NephroscopeWithOneChannel , 0 , 0.998045 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.42639 , -75.9888 , 281.245 , -0.142505 , -0.240084 , 0.410031 , 0.868289 , NephroGrasper , 1 , 0.952102 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 10.576 , -58.0483 , 146.205 , 0.363391 , -0.23796 , 0.677534 , 0.593523 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.0597001 , NephroscopeWithOneChannel , 0 , 0.998045 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.1005 , -69.5311 , 280.832 , -0.103344 , -0.261121 , 0.327892 , 0.90201 , NephroGrasper , 1 , 0.952102 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 10.576 , -58.0483 , 146.205 , 0.363391 , -0.23796 , 0.677534 , 0.593523 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.0797551 , NephroscopeWithOneChannel , 0 , 0.999022 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.64199 , -63.9684 , 280.602 , -0.0693563 , -0.274394 , 0.260618 , 0.923025 , NephroGrasper , 1 , 0.952102 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 10.576 , -58.0483 , 146.205 , 0.363391 , -0.23796 , 0.677534 , 0.593523 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.0996928 , NephroscopeWithOneChannel , 0 , 0.999022 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.94485 , -60.1482 , 280.495 , -0.0462469 , -0.279182 , 0.218947 , 0.933799 , NephroGrasper , 1 , 0.953079 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 10.576 , -58.0483 , 146.205 , 0.363391 , -0.23796 , 0.677534 , 0.593523 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.119741 , NephroscopeWithOneChannel , 0 , 0.999022 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.83562 , -58.136 , 280.256 , -0.0332959 , -0.277968 , 0.198388 , 0.939291 , NephroGrasper , 0 , 0.953079 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 10.576 , -58.0483 , 146.205 , 0.363391 , -0.23796 , 0.677534 , 0.593523 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.139619 , NephroscopeWithOneChannel , 0 , 0.999022 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.04389 , -57.017 , 279.658 , -0.023689 , -0.273772 , 0.183778 , 0.943776 , NephroGrasper , 0 , 0.953079 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 10.576 , -58.0483 , 146.205 , 0.363391 , -0.23796 , 0.677534 , 0.593523 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.160119 , NephroscopeWithOneChannel , 0 , 0.999022 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -0.415865 , -55.5668 , 278.757 , -0.0099732 , -0.269259 , 0.159137 , 0.949776 , NephroGrasper , 0 , 0.953079 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 10.576 , -58.0483 , 146.205 , 0.363391 , -0.23796 , 0.677534 , 0.593523 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.180119 , NephroscopeWithOneChannel , 0 , 0.999022 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -2.16317 , -53.2287 , 277.896 , 0.00949764 , -0.264779 , 0.122733 , 0.95642 , NephroGrasper , 0 , 0.952102 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 10.576 , -58.0483 , 146.205 , 0.363391 , -0.23796 , 0.677534 , 0.593523 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.199928 , NephroscopeWithOneChannel , 0 , 0.999022 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -3.70251 , -50.0574 , 277.281 , 0.0330846 , -0.260473 , 0.0783525 , 0.961728 , NephroGrasper , 0 , 0.952102 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 10.576 , -58.0483 , 146.205 , 0.363391 , -0.23796 , 0.677534 , 0.593523 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
