Version, 17.03
Date, 2017-11-09
Time, 12h03
Force Threshold, Label1, Kidney, 0.1
Force Threshold, Label2, Stone1, 3.40282e+038
Force Threshold, Label3, Stone2, 3.40282e+038
Number of materials, 3
Number of targets, 0
Time(s), InstrumentLeftHand, LeftSwitch, LeftKnob, ForceFeedbackLeftHand, CumTimeLeftForceOverThreshold_label1_Kidney, CumTimeLeftForceOverThreshold_label2_Stone1, CumTimeLeftForceOverThreshold_label3_Stone2, Label1_Kidney_TouchedByLeft, Label2_Stone1_TouchedByLeft, Label3_Stone2_TouchedByLeft, TranslationLeft_x,TranslationLeft_y,TranslationLeft_z, quatLeft_x,quatLeft_y,quatLeft_z, quatLeft_w, InstrumentRightHand, RightSwitch, RightKnob, ForceFeedbackRightHand, CumTimeRightForceOverThreshold_label1_Kidney, CumTimeRightForceOverThreshold_label2_Stone1, CumTimeRightForceOverThreshold_label3_Stone2, Label1_Kidney_TouchedByRight, Label2_Stone1_TouchedByRight, Label3_Stone2_TouchedByRight, TranslationRight_x,TranslationRight_y,TranslationRight_z, quatRight_x,quatRight_y,quatRight_z,quatRight_w,BloodEmittedFrame,BloodCurrentFrame, TotalBloodEmitted, TotalWhiteFibreCut, TotalArteriesFibreCut, TotalVeinsFibreCut, TotalTargetFibreCut, Volume_ofLabel1_Kidney, Volume_ofLabel2_Stone1, Volume_ofLabel3_Stone2
0.0199648 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -18.9017 , -8.03663 , 232.017 , 0.0215325 , -0.118314 , 0.0123358 , 0.992666 , NephroGrasper , 1 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 87.2905 , 43.8115 , 282.07 , 0.127191 , -0.0401452 , 0.173912 , 0.975687 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.0399648 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -18.4506 , -8.88654 , 232.086 , 0.0195919 , -0.119058 , 0.00585124 , 0.992677 , NephroGrasper , 1 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 86.8476 , 44.0654 , 281.828 , 0.127337 , -0.0396843 , 0.174142 , 0.975646 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.0599744 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -17.7534 , -9.74963 , 232.21 , 0.0176084 , -0.1199 , 0.00231279 , 0.992627 , NephroGrasper , 1 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 86.394 , 44.407 , 281.615 , 0.12772 , -0.0392285 , 0.174416 , 0.975565 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.0799585 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -16.3591 , -10.5295 , 232.531 , 0.015884 , -0.121877 , 0.000351378 , 0.992418 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 86.0129 , 44.5895 , 281.4 , 0.127757 , -0.0388232 , 0.17481 , 0.975506 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.100097 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -14.4726 , -10.962 , 233.051 , 0.0150321 , -0.124704 , -0.000253474 , 0.99208 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 85.6455 , 44.7468 , 281.204 , 0.127787 , -0.0383754 , 0.175057 , 0.975476 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.120127 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -12.0917 , -11.1496 , 233.743 , 0.0149162 , -0.128554 , -0.000169136 , 0.99159 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 85.2771 , 44.8181 , 281.003 , 0.127649 , -0.0378445 , 0.175226 , 0.975484 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.14021 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -9.81294 , -11.4815 , 234.342 , 0.0142011 , -0.132112 , 0.00175072 , 0.991132 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 84.9845 , 44.956 , 280.834 , 0.127681 , -0.0374788 , 0.175159 , 0.975506 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.160233 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -7.81398 , -12.4174 , 234.764 , 0.0117107 , -0.135102 , 0.00416466 , 0.990754 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 84.7325 , 45.0854 , 280.669 , 0.127691 , -0.0371766 , 0.174903 , 0.975562 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.181158 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -6.22778 , -13.5891 , 234.954 , 0.00879385 , -0.13726 , 0.00643073 , 0.990475 , NephroGrasper , 0 , 0.71261 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 84.4232 , 45.3235 , 280.543 , 0.128021 , -0.0367802 , 0.174781 , 0.975556 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.200387 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -5.00407 , -14.4108 , 234.922 , 0.00703134 , -0.138628 , 0.00636988 , 0.990299 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 84.1191 , 45.4925 , 280.422 , 0.128222 , -0.0363479 , 0.174818 , 0.975539 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.219965 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -4.01416 , -14.6613 , 234.688 , 0.00667951 , -0.139634 , 0.00473237 , 0.990169 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 83.8805 , 45.6933 , 280.319 , 0.128493 , -0.0360773 , 0.174843 , 0.975509 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.240871 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -3.22339 , -14.6141 , 234.224 , 0.00658365 , -0.140394 , 0.00364061 , 0.990067 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 83.6044 , 45.6886 , 280.155 , 0.128245 , -0.0356432 , 0.175014 , 0.975527 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.260386 , NephroscopeWithOneChannel , 0 , 0.130987 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -2.79965 , -14.6069 , 233.58 , 0.00582055 , -0.140677 , 0.0036317 , 0.990032 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 83.3578 , 45.7581 , 280.025 , 0.128205 , -0.0352893 , 0.175142 , 0.975522 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.281321 , NephroscopeWithOneChannel , 0 , 0.131965 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -2.90653 , -14.5119 , 232.8 , 0.00494347 , -0.140241 , 0.00420319 , 0.990096 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 83.243 , 45.9176 , 279.924 , 0.128382 , -0.035277 , 0.175233 , 0.975483 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
0.300393 , NephroscopeWithOneChannel , 0 , 0.131965 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -3.48973 , -14.3792 , 231.981 , 0.0041599 , -0.13912 , 0.0044541 , 0.990257 , NephroGrasper , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 83.1111 , 46.0424 , 279.835 , 0.128511 , -0.0352051 , 0.175537 , 0.975414 , 0 , 0 , 0 ,  0 ,  0 ,  0 ,  0 ,  58.324 , 0.0502879 , 0.029682 , 
